epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,5885.11,0.62173,0.35725,0.83021,0.98816,1,0.995,0.85043,0.48395,0.27433,0.78524,0.000269584,0.000269584,0.000269584
155,5932.92,0.61597,0.36769,0.83969,0.98528,1,0.99494,0.87005,0.46412,0.27234,0.78528,0.000264085,0.000264085,0.000264085
156,5972.54,0.60822,0.35395,0.83558,0.99139,1,0.99445,0.84736,0.48157,0.27072,0.789,0.000258585,0.000258585,0.000258585
157,6016.85,0.61241,0.35969,0.83646,0.99331,1,0.99473,0.85283,0.4826,0.27034,0.78814,0.000253086,0.000253086,0.000253086
158,6056.1,0.6329,0.36683,0.83225,0.99689,1,0.995,0.8597,0.46435,0.25687,0.78619,0.000247586,0.000247586,0.000247586
159,6097.72,0.58836,0.3464,0.83923,0.99588,1,0.995,0.85556,0.4539,0.2573,0.78467,0.000242087,0.000242087,0.000242087
160,6140.2,0.61504,0.34942,0.82832,0.99829,1,0.995,0.86591,0.45916,0.26687,0.78529,0.000236587,0.000236587,0.000236587
161,6182.8,0.57711,0.34299,0.83482,0.99691,1,0.995,0.85008,0.47962,0.27459,0.78631,0.000231088,0.000231088,0.000231088
162,6224.52,0.58836,0.35044,0.8395,0.99632,0.99056,0.99482,0.83862,0.48864,0.26809,0.78884,0.000225589,0.000225589,0.000225589
163,6265.98,0.59149,0.34287,0.82964,0.98932,0.99653,0.99491,0.85973,0.45134,0.25836,0.78598,0.000220089,0.000220089,0.000220089
164,6307.95,0.58744,0.33836,0.83236,0.99411,1,0.99491,0.8673,0.44803,0.25718,0.78472,0.00021459,0.00021459,0.00021459
165,6350.03,0.59474,0.3363,0.82528,0.99404,1,0.995,0.86955,0.44234,0.25636,0.78431,0.00020909,0.00020909,0.00020909
166,6392.36,0.58762,0.33573,0.82665,0.98919,1,0.995,0.87626,0.43882,0.2486,0.78142,0.000203591,0.000203591,0.000203591
167,6431.46,0.58606,0.33092,0.82826,0.98295,1,0.99494,0.86676,0.44176,0.24817,0.781,0.000198091,0.000198091,0.000198091
168,6468.47,0.59084,0.34693,0.8241,0.99725,0.9918,0.995,0.86759,0.43879,0.24845,0.78159,0.000192592,0.000192592,0.000192592
169,6508.09,0.56142,0.32288,0.82817,0.99294,0.99634,0.995,0.87529,0.42525,0.24427,0.778,0.000187092,0.000187092,0.000187092
170,6549.78,0.59476,0.35504,0.83213,0.99244,1,0.995,0.862,0.43711,0.24973,0.77955,0.000181593,0.000181593,0.000181593
171,6591.24,0.58728,0.34024,0.8275,0.99455,1,0.99492,0.86609,0.43077,0.24898,0.78111,0.000176094,0.000176094,0.000176094
172,6622.05,0.56407,0.32624,0.83562,0.9896,1,0.99476,0.8677,0.42137,0.24202,0.77832,0.000170594,0.000170594,0.000170594
173,6639.79,0.55837,0.31999,0.82083,0.98989,1,0.99476,0.87279,0.42215,0.24758,0.77802,0.000165095,0.000165095,0.000165095
174,6659.3,0.58492,0.34125,0.82709,0.98723,1,0.99476,0.86665,0.43283,0.25132,0.77887,0.000159595,0.000159595,0.000159595
175,6682.56,0.56505,0.327,0.82272,0.98729,1,0.99494,0.86745,0.43331,0.24754,0.77872,0.000154096,0.000154096,0.000154096
176,6704.29,0.57312,0.32825,0.82217,0.99253,1,0.99497,0.86821,0.43439,0.24338,0.7795,0.000148596,0.000148596,0.000148596
177,6728,0.58686,0.33389,0.82478,0.99346,1,0.995,0.87276,0.42258,0.24306,0.77821,0.000143097,0.000143097,0.000143097
178,6749.91,0.56537,0.33108,0.8274,0.99369,1,0.99494,0.87564,0.41288,0.24028,0.77575,0.000137597,0.000137597,0.000137597
179,6770.64,0.56024,0.3283,0.83041,0.99404,1,0.99467,0.86837,0.42197,0.23825,0.77516,0.000132098,0.000132098,0.000132098
180,6792.28,0.54702,0.31284,0.82071,0.99495,1,0.99494,0.87006,0.42173,0.23884,0.77629,0.000126598,0.000126598,0.000126598
181,6814.73,0.57173,0.32695,0.82214,0.99759,1,0.995,0.86891,0.42814,0.23873,0.77886,0.000121099,0.000121099,0.000121099
182,6839.74,0.54999,0.32582,0.82928,0.99492,1,0.995,0.87369,0.41531,0.22881,0.77703,0.0001156,0.0001156,0.0001156
183,6864.02,0.58558,0.33904,0.82121,0.99364,1,0.995,0.87242,0.40861,0.23376,0.77723,0.0001101,0.0001101,0.0001101
184,6890.03,0.55487,0.31859,0.81968,0.99083,1,0.99497,0.88561,0.39991,0.23427,0.77655,0.000104601,0.000104601,0.000104601
185,6911.56,0.5536,0.32744,0.82239,0.99219,1,0.99497,0.87532,0.40138,0.23349,0.77722,9.91012e-05,9.91012e-05,9.91012e-05
